店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
全席完全個室 陸奥のうまいもん居酒屋 もみじ咲浜松町店,050-5492-9674,,東京都,港区,浜松町2-5-8,井門浜松町ビル5F,https://ggzj004.gorp.jp/,TRUE
個室居酒屋 さつま武蔵 田町店,050-5486-6004,,東京都,港区,芝5-22-3,浅岡ビル4F,https://satumamusasi.gorp.jp/,TRUE
DINING KITCHEN COZICOZI house,050-5494-3941,,東京都,世田谷区,経堂1-11-8,シンフォニー経堂2F,https://gh5n400.gorp.jp/,TRUE
居酒屋革命 酔っ手羽 新橋店,03-6206-6786,,東京都,港区,新橋2-9-4,新橋乾盃ビルB1,https://gdmn318.gorp.jp/,TRUE
新橋 天鮨,050-5492-0455,,東京都,港区,新橋2-10-1,庄屋ビル4F,https://gf11443.gorp.jp/,TRUE
浅草 やきとり道場 東武浅草駅前,050-5485-6209,,東京都,台東区,浅草1-1-16,HK浅草ビル2F,http://www.chimney.co.jp/,FALSE
とらふぐ亭 赤羽店,050-5486-3538,,東京都,北区,赤羽南1-7-2,安田ビル,http://www.torafugu.co.jp/,FALSE
赤坂 いづみ,050-5488-1805,,東京都,港区,赤坂6-11-11,乃なみビル,https://gah6300.gorp.jp/,TRUE
赤羽ジンギスカン,050-5487-7428,,東京都,北区,赤羽1-22-10,,https://gj5b300.gorp.jp/,TRUE
上質な空間でゆったりと寛げる 上海料理 煌蘭 丸の内店,050-5493-4827,,東京都,千代田区,丸の内2-1-1,明治安田生命ビル(丸ノ内マイプラザ)B1,https://ghuf400.gorp.jp/,TRUE
和牛焼肉 やくにく 路地裏,050-5487-0654,,東京都,新宿区,歌舞伎町1-21-2,文華桜ビル,https://a496608.gorp.jp/,TRUE
ここから屋,03-6382-8623,,東京都,中野区,中央3-39-3,,https://gc45800.gorp.jp/,TRUE
美肉酒房 鮮Q,050-5487-2530,,東京都,豊島区,南池袋2-31-3,,https://ges7801.gorp.jp/,TRUE
ダイナミックキッチン＆バー 響 カレッタ汐留店,03-6215-8051,,東京都,港区,東新橋1-8-1,カレッタ汐留 46F,http://www.dynac-japan.com/shop/hibiki/shiodome/,FALSE
神戸牛 個室会席 おもき 離れ,050-5487-1309,,東京都,中央区,銀座5-8-9,BINO銀座4F,https://g725446.gorp.jp/,TRUE
てんぷら 下村,050-5487-7351,,東京都,台東区,三筋1-11-13,1F,,FALSE
博多華味鳥 銀座2丁目店,050-5484-3857,,東京都,中央区,銀座2-4-6,銀座ベルビア館7F,http://hanamidori.net/,FALSE
KING OF THE PIRATES,050-5484-7669,,東京都,港区,台場1-7-1,アクアシティお台場5F,,FALSE
豚しゃぶしゃぶ 座和めき,050-5484-6398,,東京都,港区,芝大門1-6-6,芝大門ヤマトビル B1,https://p848302.gorp.jp/,TRUE
